Chapter,Part of Speech,Lang,English
21,verb (2),"contineō, continēre, continuī, contentum","to hold together, contain, keep, enclose, restrain"
21,verb (2),"iubeō, iubēre, iussī, iussum","to bid, order, command"
21,verb (1),"labōrō, labōrāre, labōrāvī, labōrātum","to labor, be in distress"
21,verb (3i),"rapiō, rapere, rapuī, raptum","to seize, snatch, carry away"
21,verb (3),"relinquō, relinquere, relīquī, relictum","to leave behind, leave, abandon, desert"
21,verb (4),"sciō, scīre, scīvī, scītum",to know
21,verb (3),"tangō, tangere, tetigī, tāctum",to touch
22,noun (5),"diēs, diēī, m.",day
22,noun (2),"ferrum, -ī, n.",iron; sword
22,noun (5),"fidēs, fideī, f.","faith, trust, trustworthiness, fidelity, promise, guarantee, protection"
22,noun (3i),"ignis, ignis, m.",fire
22,noun (2),"modus, -ī, m.","measure, bound, limit; manner, method, mode, way"
22,noun (5),"rēs, reī, f.","thing, matter, business, affair"
22,noun (5),"spēs, speī, f.",hope
22,adjective,"aequus, -ā, -um","level, even; calm; equal, just; favorable"
22,adjective,"fēlīx, fēlīcis","lucky, fortunate, happy"
22,adjective,"incertus, -ā, -um","uncertain, unsure, doubtful"
22,adjective,"Latīnus, -ā, -um",Latin
22,adjective,"medius, -ā, -um",middle
22,adverb,quondam,"formerly, once"
22,"adverb, preposition",ultrā,"on the other side, beyond (takes accusative)"
22,adverb,prōtinus,immediately
22,verb (3),"cernō, cernere, crēvī, crētum","to distinguish, discern, perceive"
22,verb (3i),"ēripiō, ēripere, ēripuī, ēreptum","to snatch away, take away; rescue"
22,verb (irregular),"inquit, -, -, -","he says, he said (defective verb placed after one or more words of direct quotation)"
22,verb (3),"tollō, tollere, sustulī, sublātum","to raise, lift up; take away, remove, destroy"
23,noun (3i),"arx, arcis, f.","citadel, stronghold"
23,noun (3),"dux, dūcis, m.","leader, guide; commander, general"
23,noun (2),"equus, -ī, m.",horse
23,noun (1),"hastā, -ae, f.",spear
23,noun (1),"īnsula, -ae, f.",island
23,noun (3),"litus, lītoris, n.","shore, coast"
23,noun (3),"mīles, mīlitis, m.",soldier
23,noun (3),"ōrātor, ōrātōris, m.","orator, speaker"
23,noun (3),"sacerdōs, sacerdōtīs, m.",priest
23,pronoun,"aliquis, aliquid","someone, somebody, something"
23,pronoun,"quisquis, quidquid","whoever, whatever"
23,adjective,"magnanimus, -ā, -um","great-hearted, brave, magnanimous"
23,adverb,umquam,"ever, at any time"
23,verb (1),"ēdūcō, ēducāre, ēducāvī, ēducātum","to bring up, educate"
23,verb (2),"gaudeō, gaudēre, gāvīsus sum, -","to be glad, rejoice"
23,verb (3),"ostendō, ostendere, ostendī, ostentum","to exhibit, show, display"
23,verb (3),"petō, petere, petīvī, petītum","to seek, aim at, beg, beseech"
23,verb (3),"premō, premere, pressī, pressum","to press, press hard, pursue"
23,verb (3),"opprimō, opprimere, oppressī, oppressum","to suppress, overwhelm, overpower, check"
23,verb (3),"vertō, vertere, vertī, versum",to turn; change
24,noun (3),"Carthāgō, Carthāginis, f.",Carthage (a city in North Africa)
24,noun (1),"fābula, -ae, f.","story, tale; play"
24,noun (3),"imperātor, imperātōris, m.","general, commander-in-chief, emperor"
24,noun (2),"imperium, -iī, n.","power to command, supreme power, authority, command, control"
24,noun (2),"perfugium, -iī, n.","refuge, shelter"
24,noun (2),"servus, -ī, m.",slave
24,noun (1),"servā, -ae, f.",slave
24,noun (2),"sōlācium, -iī, n.","comfort, relief"
24,noun (3),"vulnus, vulneris, n.",wound
24,prefix,"rē-, red-","again, back"
24,conjunction,ut (+ indīc.),"just as, when"
24,adverb,posteā,afterwards
24,verb (3i),"accipiō, accipere, accēpī, acceptum","to take (to one's self), receive, accept"
24,verb (3i),"excipiō, excipere, excēpī, exceptum","to take out, except; take, receive, capture"
24,verb (3i),"recipiō, recipere, recēpī, receptum","to take back, regain, admit, receive"
24,verb (3),"pellō, pellere, pepulī, pulsum","to strike, push, drive out, banish"
24,verb (3),"expellō, expellere, expulī, expulsum","to drive out, expel, banish"
24,verb (1),"nārrō, nārrāre, nārrāvī, nārrātum","to tell, report, narrate"
24,verb (3),"quaerō, quaerere, quaesīvī, quaesītum","to seek, look for, strive for; ask, inquire, inquire into"
24,verb (2),"rīdeō, rīdēre, rīsī, rīsum","to laugh, laugh at"
25,noun (1),"linguā, -ae, f.",tongue; language
25,adjective,ferōx,"fierce, savage (genitive ferocis)"
25,adjective,"fidēlis, fidēle","faithful, loyal"
25,adjective,"geminus, -ā, -um",twin
25,adjective,sapiēns,"wise, judicious; (as a noun) a wise man, philosopher (genitive sapientis)"
25,adjective,"ultimus, -ā, -um","farthest, extreme; last, final"
25,adverb,dehinc,then
25,adverb,hīc,here
25,verb (irregular),"ait, -, -, -","he says, they say, assert (or aiunt)"
25,verb (3),"crēdō, crēdere, crēdidī, crēditum","to believe, trust"
25,verb (2),"iaceō, iacere, iacuī, -","to lie, lie prostrate, lie dead"
25,verb (1),"negō, negāre, negāvī, negātum","to deny, say that...not"
25,verb (4),"nesciō, nescīre, nescīvī, nescītum","not to know, be ignorant"
25,verb (1),"nūntiō, nūntiāre, nūntiāvī, nūntiātum","to announce, report, relate"
25,verb (3i),"patefaciō, patefacere, patefēcī, patefactum","to make open, open; disclose, expose"
25,verb (1),"putō, putāre, putāvī, putātum","to clean, trim; reckon, suppose, judge, think, imagine"
25,verb (1),"spērō, spērāre, spērāvī, spērātum","to hope for, hope"
25,verb (3i),"suscipiō, suscipere, suscēpī, susceptum",to undertake
26,noun (1),"cēna, -ae, f.",dinner
26,noun (2),"forum, -ī, n.","marketplace, forum"
26,noun (3),"lēx, lēgis, f.","law, statute"
26,noun (3),"līmen, līminis, n.",threshold
26,noun (3),"lūx, lūcīs, f.",light
26,noun (1),"mēnsā, -ae, f.","table, dining, dish, course (mensa secunda: dessert)"
26,noun (3i),"nox, noctis, f.",night
26,noun (2),"somnus, -ī, m.",sleep
26,"pronoun, adjective","quīdam, quaedam, quiddam","(pron.) a certain one, certain thing, someone, something; (adj.) a certain, some"
26,adjective,"pudīcus, -ā, -um","modest, chaste"
26,adjective,"superbus, -ā, -um","arrogant, overbearing, haughty, proud"
26,adjective,"trīstīs, trīste","sad, sorrowful; joyless, grim, severe"
26,adjective,"turpis, turpe","ugly, shameful, base, disgraceful"
26,adjective,"urbānus, -ā, -um","of the city, urban, urbane, elegant"
26,preposition,prae,"in front of, before (takes ablative)"
26,"adverb, conjunction",quam,"(after comparatives) than; (with superlatives) as...as possible (e.g. quam fortissimus, as great as possible)"
26,adverb,tantum,only
26,verb (1),"invītō, invītāre, invītāvī, invītātum","to entertain, invite, summon"
27,noun (3),"dēlectātiō, dēlectātiōnis, f.","delight, pleasure, enjoyment"
27,noun (3),"nepōs, nepōtīs, m.","grandson, descendant"
27,noun (3),"sōl, sōlis, m.",sun
27,adjective,dīligēns,"diligent, careful (genitive diligentis)"
27,adjective,"dissimilis, dissimile","unlike, different"
27,adjective,"gracilis, gracilē","slender, thin"
27,adjective,"humilis, humile","lowly, humble"
27,adjective,"maior, -iūs","greater, older; (plural) ancestors"
27,adjective,"prīmus, -ā, -um","first, foremost, chief, principal"
27,adjective,quot,"how many, as many as (indeclinable)"
27,adjective,"similis, simile","similar (to), like, resembling"
27,adjective,"superus, -ā, -um","above, upper"
27,adjective,"ūtilis, ūtile","useful, advantageous"
27,adjective,"melior, -iūs",better
27,adjective,"peior, -iūs",worse
27,adjective,plūs,"more (NB no masc. and fem. or dat. sing; abl. sing. plure, gen. plur. plurium, neut. pl. plura)"
27,adjective,"minor, minus",smaller
27,adjective,"prior, -iūs",former
27,adjective,"superior, -iūs",higher
27,adjective,"optimus, -ā, -um",best
27,adjective,"maximus, -ā, -um",greatest
27,adjective,"pessimus, -ā, -um",worst
27,adjective,"plūrimus, -ā, -um",most
27,adjective,"minimus, -ā, -um",smallest
27,adjective,"summus, -ā, -um","highest, furthest"
27,adjective,"suprēmus, -ā, -um","highest, last"
27,verb (3),"pōnō, pōnere, posuī, positum","to put, place, set"
27,verb (1),"probō, probāre, probāvī, probātum","to test, approve, recommend"
28,noun (2),"arma, -ōrum, n.","arms, weapons (always plural)"
28,noun (4),"cursus, -us, m.","running, race; course"
28,noun (1),"lūna, -ae, f.",moon
28,noun (3),"occāsiō, occāsiōnis, f.","occasion, opportunity"
28,noun (3),"parēns, parentīs, m. or f.",parent
28,noun (1),"stēlla, -ae, f.","star, planet"
28,noun (3),"vesper, vesperis, m.",evening (genitive singular may also be vesperi)
28,adjective,"mortuus, -ā, -um",dead
28,adjective,prīnceps,"chief, foremost; (m. or f. noun) leader, emperor (genitive principis)"
28,conjunction,ut (+ subj.),"in order that, so that, that, in order to, so as to, to; (with indicative) as, when"
28,"adverb, conjunction",nē,"not; in order that...not, that...not, in order not to"
28,verb (3),"cēdō, cēdere, cessī, cessum","to go, withdraw; yield to, grant, submit"
28,verb (1),"dēdicō, dēdicāre, dēdicāvī, dēdicātum",to dedicate
28,verb (2),"egeō, egēre, eguī, -","to need, lack, want"
28,verb (2),"expleō, explēre, explēvī, explētum","to fill, fill up, complete"
28,verb (1),"praestō, praestāre, praestitī, praestitum","to excel; exhibit, show, offer, supply, furnish"
28,verb (2),"taceō, tacēre, tacuī, tacitum","to be silent, leave unmentioned"
29,noun (2),"fātum, -ī, n.","fate, death"
29,noun (2),"ingenium, -iī, n.","nature, innate talent"
29,noun (3i),"moenia, moenium, n.",walls of a city (always plural)
29,noun (1),"nāta, -ae, f.",daughter
29,noun (2),"ōsculum, -ī, n.",kiss
29,noun (3),"sīdus, sīderis, n.","constellation, star"
29,adjective,"dignus, -ā, -um","worthy, worthy of"
29,adjective,"dūrus, -ā, -um","hard, harsh, rough, stern, unfeeling, hardy, difficult"
29,adjective,"tantus, -ā, -um","so large, so great, of such a size"
29,adverb,dēnique,"at last, finally, lastly"
29,adverb,ita,"so, thus"
29,adverb,quidem,"indeed, certainly, at least, even (ne...quidem: not...even)"
29,adverb,sīc,"so, thus"
29,adverb,tam,"so, to such a degree (tam...quam: so...as)"
29,adverb,vērō,"in truth, indeed, to be sure, however"
29,verb (3),"condō, condere, condidī, conditum","to put together, put into, store; found, establish"
29,verb (3),"contendō, contendere, contendī, contentum","to strive, struggle, contend; hasten"
29,verb (4),"molliō, mollīre, mollīvī, mollītum","to soften; make calm, make less hostile"
29,verb (1),"pugnō, pugnāre, pugnāvī, pugnātum",to fight
29,verb (2),"respondeō, respondēre, respondī, respōnsum",to answer
29,verb (3),"surgō, surgere, surrēxī, surrectum","to get up, arise"
30,noun (3),"honor, honōris, m.","honor, esteem; public office"
30,adjective,"cēterī, -ae, -ā","the remaining, the rest, the other, all the others (always plural)"
30,adjective,"quantus, -ā, -um","how large, how great, how much"
30,adjective,"rīdiculus, -ā, -um","laughable, ridiculous"
30,adjective,"vīvus, -ā, -um","alive, living"
30,adverb,fūrtim,"stealthily, secretly"
30,adverb,mox,soon
30,adverb,prīmō,"at first, at the beginning"
30,adverb,repente,suddenly
30,adverb,unde,"whence, from what, from which place, from which, from whom"
30,"adverb, conjunction",utrum...an,whether...or
30,verb (3),"bibō, bibere, bibī, -",to drink
30,verb (3),"cognōscō, cognōscere, cognōvī, cognitum","to become acquainted with, learn, recognize; (in perf.) know"
30,verb (3),"comprehendō, comprehendere, comprehendī, comprehēnsum","to grasp, seize, arrest; comprehend, understand"
30,verb (3),"cōnsūmō, cōnsūmere, cōnsūmpsī, cōnsūmptum","to consume, use up"
30,verb (1),"dubitō, dubitāre, dubitāvī, dubitātum","to doubt, hesitate"
30,verb (3),"expōnō, expōnere, exposuī, expositum","to set forth, explain, expose"
30,verb (3),"minuō, minuere, minuī, minūtum","to lessen, diminish"
30,verb (1),"rogō, rogāre, rogāvī, rogātum",to ask
31,noun (3),"as, assis, m.","an as (a small copper coin, roughly equivalent to a penny)"
31,noun (2),"auxilium, -iī, n.","aid, help"
31,noun (2),"digitus, -ī, m.","finger, toe"
31,noun (2),"elephantus, -ī, m.",elephant
31,noun (2),"exsilium, -iī, n.","exile, banishment"
31,noun (1),"invidia, -ae, f.","envy, jealousy, hatred"
31,noun (3),"rūmor, rūmōris, m.","rumor, gossip"
31,noun (2),"vīnum, -ī, n.",wine
31,adjective,"mediocris, medicre","ordinary, moderate, mediocre"
31,conjunction,cum,"(with subj.) when, since, although; (with indic.) when"
31,preposition,apud,"among, in the presence of, at the house of (takes accusative)"
31,adverb,semel,"a single time, once, once and for all, simultaneously"
31,adverb,usque,"all the way, up (to), even (to), continuously, always"
31,verb (2),"doleō, dolēre, doluī, dolitūrum","to grieve, suffer, hurt, give pain"
31,verb (4),"dormiō, dormīre, dormīvī, dormītum",to sleep
31,verb (3),"ferō, ferre, tulī, lātum","to bear, carry, bring; suffer, endure, tolerate; say, report"
31,verb (3),"adferō, adferre, attulī, allātum",to bring to
31,verb (3),"cōnferō, cōnferre, contulī, collātum","to bring together, compare; confer, bestow (se conferre: betake onself, go)"
31,verb (3),"offerō, offerre, obtulī, oblātum",to offer
31,verb (3),"referō, referre, rettulī, relātum","to carry back, bring back; repeat, answer, report"
31,verb (2),"invideō, invidēre, invīdī, invīsum","to be envious; to look at with envy, envy, be jealous of"
31,verb (3),"occīdō, occīdere, occīdī, occāsum",to fall down; die; set
32,noun (1),"cūstōdia, -ae, f.","protection, custody; (plural) guards"
32,noun (4),"exercitus, -us, m.",army
32,noun (3),"paupertās, paupertātis, f.","poverty, humble circumstance"
32,adjective,dīves,rich (genitive divitis or ditis)
32,adjective,pār,"equal, like (genitive paris)"
32,adjective,pauper,"of small means, poor (genitive pauperis)"
32,conjunction,dummodo,"(with subj.) provided that, so long as"
32,adverb,longē,far
32,adverb,līberē,freely
32,adverb,pulchrē,beautifully
32,adverb,fortiter,bravely
32,adverb,celeriter,quickly
32,adverb,ācriter,keenly
32,adverb,fēlīciter,happily
32,adverb,sapienter,wisely
32,adverb,facile,easily
32,adverb,bene,well
32,adverb,male,badly
32,adverb,multum,much
32,adverb,magnopere,greatly
32,adverb,parum,"little, not very (much)"
32,adverb,diū,for a long time
32,verb (irregular),"mālō, malle, māluī, -","to want (something) more, instead; prefer"
32,verb (irregular),"nōlō, nōlle, nōluī, -","to not...wish, be unwilling"
32,verb (2),"pateō, patēre, patuī, -","to be open, lie open, be accessible, be evident"
32,verb (2),"praebeō, praebēre, praebuī, praebitum","to offer, provide"
32,verb (3),"prōmittō, prōmittere, prōmīsī, prōmissum",to send forth; promise
32,verb (irregular),"volō, velle, voluī, -","to wish, want, be willing, will"
33,noun (2),"initium, -iī, n.","beginning, commencement"
33,noun (3),"ops, opis, f.","help, aid; (plural) power, resources, wealth"
33,noun (2),"philosophus, -ī, m.",philosopher
33,noun (1),"philosopha, -ae, f.",philosopher
33,noun (3),"plēbs, plēbis, f.","the common people, populace, plebians"
33,noun (3),"sāl, salis, m.",salt; wit
33,noun (2),"speculum, -ī, n.",mirror
33,pronoun,"quis, quid","(after si, nisi) anyone, anything, someone, something"
33,adjective,"candidus, -ā, -um","shining, bright, white; beautiful"
33,adjective,"merus, -ā, -um","pure, undiluted"
33,adjective,"suāvis, suāve",sweet
33,"enclitic, conjunction",-ve,or
33,interjection,heu,"ah!, alas! (a sound of grief or pain)"
33,adverb,subitō,suddenly
33,verb (1),"recūsō, recūsāre, recūsāvī, recūsātum",to refuse
33,verb (3),"trādō, trādere, trādidī, trāditum","to give over, surrender; hand down, transmit, teach"
34,noun (1),"animā, -ae, f.","soul, spirit"
34,noun (3),"remissiō, remissiōnis, f.","letting go, release; relaxation"
34,noun (3),"vōx, vōcis, f.","voice, word"
34,adjective,"adversus, -ā, -um","opposite, adverse"
34,adjective,"tālis, tāle","such, of such a sort"
34,interjection,vae,"alas, woe to"
34,verb (1),"arbitror, arbitrārī, arbitrātus sum, -","to judge, think"
34,verb (1),"cōnor, cōnārī, cōnātus sum, -","to try, attempt"
34,verb (3),"crēscō, crēscere, crēvī, crētum",to increase
34,verb (3i),"ēgredior, ēgredī, ēgressus sum, -",to go out
34,verb (2),"fateor, fatērī, fassus sum, -","to confess, admit"
34,verb (1),"hortor, hortārī, hortātus sum, -","to encourage, urge"
34,verb (3),"loquor, loquī, locūtus sum, -","to say, speak, tell"
34,verb (4),"mōlior, mōlīrī, molitus sum, -","to work at, build, undertake, plan"
34,verb (3i),"morior, morī, mortuus sum, -",to die
34,verb (3),"nāscor, nāscī, nātus sum, -","to be born; spring forth, arise"
34,verb (3i),"patior, patī, passūs sum, -","to suffer, endure, permit"
34,verb (3),"proficīscor, proficīscī, profectus sum, -","to set out, start"
34,verb (1),"rūsticor, rūsticārī, rūsticātus sum, -",to live in the country
34,verb (2),"sedeō, sedēre, sēdī, sessum",to sit
34,verb (3),"sequor, sequī, secūtus sum, -",to follow
34,verb (1),"spectō, spectāre, spectāvī, spectātum","to look at, see"
34,verb (3),"ūtor, utī, ūsus sum, -","to use; enjoy, experience"
35,noun (3),"aestās, aestātis, f.",summer
35,noun (1),"iānua, -ae, f.",door
35,noun (3),"pectus, pectoris, n.","breast, heart"
35,noun (2),"praemium, -iī, n.","reward, prize"
35,adjective,"īrātus, -ā, -um",angry
35,verb (3),"antepōnō, antepōnere, anteposuī, antepositum","to put before, prefer"
35,verb (3),"foveō, fovēre, fōvī, fōtum","to comfort, nurture, cherish"
35,verb (3),"ignōscō, ignōscere, ignōvī, ignōtum","to grant pardon to, forgive"
35,verb (1),"imperō, imperāre, imperāvī, imperātum","to give orders to, command"
35,verb (1),"mīror, mīrārī, mīrātus sum, -","to marvel at, admire, wonder"
35,verb (2),"noceō, nocēre, nocuī, nocitum","to do harm to, harm, injure"
35,verb (3),"nūbō, nūbere, nūpsī, nūptum","to cover, veil; (with dat.) to be married to, marry"
35,verb (3),"parcō, parcere, pepercī, parsūrum","to be lenient to, spare"
35,verb (2),"pāreō, pārēre, pāruī, -","to be obedient to, obey"
35,verb (2),"persuādeō, persuādēre, persuāsī, persuāsum","to make sweet to, persuade"
35,verb (2),"placeō, placēre, placuī, placitum","to be pleasing to, please"
35,verb (3i),"sapiō, sapere, sapīvī, -","to have good taste; have good sense, be wise"
35,verb (4),"serviō, servīre, servīvī, servītum","to be a slave to, serve"
35,verb (2),"studeō, studēre, studuī, -","to direct one's zeal to, be eager for, study"
35,verb (2),"subrīdeō, subrīdēre, subrīsī, subrīsum","to smile upon, to smile down upon"
36,noun (3),"cupīdō, cupīdinis, f.","desire, passion"
36,noun (3),"lēctor, lēctōris, m.",reader
36,noun (3),"lēctrīx, lēctrīcis, f.",reader
36,noun (2),"vinculum, -ī, n.","bond, chain, fetter"
36,adverb,cotīdiē,"daily, every day"
36,adverb,fortasse,perhaps
36,verb (3),"accēdō, accēdere, accessī, accessum","to come (to), approach"
36,verb (3),"carpō, carpere, carpsī, carptum","to harvest, pluck, seize"
36,verb (3),"cōgō, cōgere, coēgī, coāctum","to drive together, bring together, force, compel"
36,verb (3),"contemnō, contemnere, contempsī, contemptum","to despise, scorn"
36,verb (3),"contundō, contundere, contudī, contūsum","to beat, crush, bruise, destroy"
36,verb (1),"cūrō, cūrāre, cūrāvī, cūrātum","to care for, attend to; heal, cure; take care"
36,verb (3),"dēcernō, dēcernere, dēcrēvī, dēcrētum","to decide, settle, decree"
36,verb (3),"exigō, exigere, exēgī, exāctum","to drive out, force out, exact; drive through, complete, perfect"
36,verb (irregular),"fīō, fierī, factus sum, -","to occur, happen, become; be made, be done"
36,verb (1),"oblectō, oblectāre, oblectāvī, oblectātum","to please, amuse, delight; pass time pleasantly"
36,verb (1),"ōrō, ōrāre, ōrāvī, ōrātum","to speak, plead; beg, beseech, entreat"
36,verb (1),"recreō, recreāre, recreāvī, recreātum","to restore, revive; refresh, cheer"
36,verb (3),"requīrō, requīrere, requīsīvī, requīsītum","to seek, ask for, miss, need, require"
36,verb (1),"serēnō, serēnāre, serēnāvī, serēnātum","to make clear, brighten; cheer up, soothe"
37,noun (1),"Athēnae, -arum, f.",Athens (always plural)
37,noun (4),"domus, -us, f.","house, home (NB 3 special uses and endings: domi -at home; domo from home; domum - to home)"
37,noun (2),"humus, -ī, f.","ground, earth, soil"
37,noun (3),"iter, itineris, n.","road, route, journey"
37,noun (3),"rūs, rūris, n.","the country, countryside"
37,noun (1),"Syrācūsae, -arum, f.",Syracuse (always plural)
37,adjective,absēns,"absent, away (gen. absentis)"
37,adjective,"grātus, -ā, -um","pleasing, agreeable; grateful"
37,adjective,"idōneus, -ā, -um","suitable, fit, appropriate"
37,adjective,"immōtus, -ā, -um","unmoved, unchanged, unrelenting"
37,adverb,foris,"out of doors, outside"
37,verb (irregular),"eō, īre, iī, itum",to go
37,verb (irregular),"abeō, abīre, abiī, abitum","to go away, depart"
37,verb (irregular),"adeō, adīre, adiī, aditum","to go to, approach"
37,verb (irregular),"exeō, exīre, exiī, exitum","to go out, exit"
37,verb (irregular),"ineō, inīre, iniī, initum","to go in, enter"
37,verb (irregular),"obeō, obīre, obiī, obitum","to go up against, meet; die"
37,verb (irregular),"pereō, perīre, periī, perītum","to pass away, be destroyed, perish"
37,verb (irregular),"redeō, redīre, rediī, reditum","to go back, return"
37,verb (3i),"interficiō, interficere, interfēcī, interfectum","to kill, murder"
37,verb (irregular),"licet, licēre, licuit, -","(impersonal) it is permitted, one may"
37,verb (1),"peregrīnor, peregrīnārī, peregrīnātus sum, -","to travel abroad, wander"
37,verb (3),"requiēscō, requiēscere, requiēvī, requiētum",to rest
37,verb (3),"soleō, solēre, solitus sum, -",to be accustomed
38,noun (3),"arbor, arboris, f.",tree
38,noun (3),"dignitās, dignitātis, f.","merit, prestige, dignity"
38,noun (3),"dolor, dolōris, m.","pain, grief"
38,noun (2),"odium, -iī, n.",hatred
38,noun (3),"opus, operis, n.","a work, task; deed, accomplishment"
38,noun (3),"ōrātiō, ōrātiōnis, f.",speech
38,noun (3),"pēs, pedis, m.","lower leg, foot"
38,noun (3),"sator, satōris, m.","sower, planter; begetter, father; founder"
38,adjective,"firmus, -ā, -um","firm, strong, reliable"
38,adjective,"īnfirmus, -ā, -um","not strong, weak, feeble"
38,adjective,"mīrābilis, mīrābile","amazing, wondrous, remarkable"
38,adjective,"prīstinus, -ā, -um","ancient; former, previous"
38,adjective,"sublīmis, sublīmē","elevated, lofty; heroic, noble"
38,conjunction,etsī,"even if, although"
38,preposition,ergā,toward (takes accusative)
38,adverb,libenter,"with pleasure, gladly"
38,verb (4),"impediō, impedīre, impedīvī, impedītum","to impede, hinder, prevent"
38,verb (3),"metuō, metuere, metuī, -","to fear, dread"
38,verb (3),"queror, querī, questus sum, -","to complain, lament"
38,verb (3),"recognōscō, recognōscere, recognōvī, recognitum","to recognize, recollect"
38,verb (3),"suspendō, suspendere, suspendī, suspēnsum","to hang up, suspend; interrupt"
38,verb (3),"vēndō, vēndere, vēndidī, vēnditum",to sell
39,noun (2),"aedificium, -iī, n.","building, structure"
39,noun (1),"iniūria, -ae, f.","injustice, injury, wrong"
39,noun (3),"mulier, mulieris, f.",woman
39,noun (4),"trānsitus, -us, m.","passing over, transit, transition"
39,noun (2),"ventus, -ī, m.",wind
39,adjective,"cupidus, -ā, -um","desirous, eager, fond; (with gen.) desirous of, eager for"
39,adjective,"līberālis, līberāle","of or relating to a free person; worthy of a free man, decent, liberal; generous"
39,adjective,necesse,"necessary, inevitable (indeclinable)"
39,adjective,vetus,old (genitive veteris)
39,"adverb, conjunction",quasi,"as if, as it were"
39,verb (1),"ambulō, ambulāre, ambulāvī, ambulātum",to walk
39,verb (4),"experior, experīrī, expertus sum, -","to try, test, experience"
39,verb (1),"lībō, lībāre, lībāvī, lībātum","to pour a libation of, pour a libation on; to pour ritually; to sip, touch gently"
39,verb (irregular),"oportet, oportēre, oportuit, -","it is proper, right, necessary"
39,verb (1),"oppugnō, oppugnāre, oppugnāvī, oppugnātum","to fight against, attack, assault, assail"
39,verb (1),"ōrnō, ōrnāre, ōrnāvī, ōrnātum","to equip, furnish, adorn"
39,verb (1),"pernoctō, pernoctāre, pernoctāvī, pernoctātum","to spend the night, occupy the night"
39,verb (irregular),"trānseō, trānsīre, trānsiī, trānsitum","to go across, cross; pass over, ignore"
40,noun (3),"aes, āeris, n.",bronze
40,noun (2),"dominus, -ī, m.","master (of a household), lord"
40,noun (1),"dominā, -ae, f.","mistress, lady"
40,noun (1),"lacrima, -ae, f.",tear
40,noun (1),"mēta, -ae, f.","turning post, goal; limit"
40,noun (2),"monumentum, -ī, n.",monument
40,noun (2),"nāsus, -ī, m.",nose
40,noun (2),"saxum, -ī, n.","rock, stone"
40,noun (4),"vultus, -us, m.","countenance, face"
40,adjective,"iūstus, -ā, -um","just, right"
40,adjective,tot,so many (indeclinable)
40,preposition,praeter,"besides, except; beyond past (takes accusative)"
40,adverb,nōnne,yes question (introduces questions expecting the answer yes)
40,adverb,num,no question; whether (introduces questions expecting the answer no; introduces indirect questions and means whether)
40,adverb,"omnīnō, adv.","wholly, entirely, altogether"
40,adverb,postrēmum,"after all, finally; for the last time"
40,adverb,quīn,"indeed, in fact"
40,verb (1),"explicō, explicāre, explicāvī, explicātum","to unfold, explain; spread out, deploy"
40,verb (1),"fatīgō, fatīgāre, fatīgāvī, fatīgātum","to weary, tire out"
40,verb (1),"for, fārī, fātus sum, -","to speak (prophetically), talk, foretell"
40,verb (1),"opīnor, opīnārī, opīnātus sum, -",to suppose
40,verb (4),"reperiō, reperīre, repperī, repertum","to find, discover, learn, get"
40,verb (4),"vereor, verērī, vertus sum, -","to show reverence for, respect; be afraid of, fear"
,,"vereor, vereri, vertus sum, -",
